id,attenuation_db
REC563,23.92516811
REC565,21.86246544
REC566,26.37720339
REC567,30.62475149
REC568,24.01973345
REC569,27.81779008
REC570,21.74588987
REC571,20.73859998
REC572,25.23523808
REC573,22.60030847
REC574,25.99030847
REC575,22.79371828
REC576,20.91945545
REC577,25.71276751
REC578,25.34371828
REC579,24.78313559
REC580,23.19992478
REC581,21.64143781
REC582,24.4726734
REC583,24.87749057
REC584,28.25093534
REC585,25.96093534
REC586,25.02093534
REC587,29.86928459
REC588,30.99928459
REC589,28.32928459
REC590,33.02579595
REC591,32.33884851
REC592,26.56796561
REC594,24.57251353
REC595,21.66118248
REC596,20.37536494
REC597,18.6140575
REC598,28.05836769
REC599,25.13377478
REC600,24.24471132
REC601,22.63425995
REC602,24.44425995
REC603,23.46200253
REC604,21.88167846
REC605,25.27033961
REC606,24.92336673
REC607,18.56090218
REC608,15.35956764
REC609,20.87821497
REC610,19.69812365
REC612,24.95364332
REC613,20.37189385
REC614,20.06364332
REC615,24.64911202
REC616,19.35842131
REC617,17.24682388
REC618,29.21616054
REC619,21.89013074
REC620,21.69328577
REC621,19.29890256
REC622,24.26456014
REC623,24.74890256
REC624,20.7601807
REC625,22.28156926
REC626,24.59582143
REC627,22.2212183
REC628,22.2836842
REC629,23.46892922
REC630,19.1646137
REC632,25.27890256
REC633,20.39328577
REC634,26.29384181
REC635,24.69384181
REC636,27.85683372
REC637,20.63790127